character,line
Monica, Joey  do you work here?
Joey, No.
Joey, Yeah?
Monica, Joey  what’s going on. What didn’t you tell us you work here?
Joey, It’s kind of embarrassing  y’know. I mean  I was an actor and now I’m a waiter. It’s supposed to go in the other direction.
Chandler, So is your apron. You’re wearing it like a cape.
Joey, I mean  the job’s easy and the money’s good  you know? I guess I’m going to be hanging out here anyway. I might as well get paid for it  right? I just feel kind of weird serving you guys.
Rachel, Come on  Joey  I did it and it was fine.
Ross, Yeah  why would it be weird? Hey  Joey  can I get some coffee?
Joey, Okay  I guess it doesn’t seem that weird.
Ross, Seriously  I-I asked you before and you still haven’t gotten it.
Joey, See  now it’s weird again.
Chandler, I think it’s great that you work here. You’re going to make a lot of money  and here’s your first tip: Don’t eat yellow snow. . Ah ha ha  2:15  coffeehouse.
Rachel, Well  you know what? This is great. Finally  I have someone I can pass on my wisdom too. Let me tell you about a couple of things I learned while working at the coffeehouse. First of all  the customer is always right.  A smile goes a long way.  And if anyone is ever rude to you? Sneeze muffin.
Joey, Thanks  Rach. Look  you guys are just terrific. Y’know? Now  how about clearing out of here so I can get some new customers. It’s all about turnover.
Ross, Joey  seriously  can I get my coffee?
Joey, Oh  I’m sorry  Ross. I’ll get it for you right now. And since I made you wait  I’ll toss in a free muffin.
Rachel, Phoebe. We would like to talk to you for a second.
Phoebe, Okay.
Monica, So  maybe I am a little high maintenance. And maybe Rachel is a little bit of a pushover. But you know what we decided you are?
Rachel, Yes  we are very sorry to tell you this  but you  Phoebe  are flaky.
Monica, Hah!
Phoebe, That true  I am flaky.
Rachel, So  what  you’re just  you’re just okay with being flaky?
Phoebe, Yeah  totally.
Monica, Well  then  I’m okay with being high maintenance.
Rachel, Yeah  and I am okay with being a pushover.
Phoebe, That’s great. Good for you guys.
Monica, I am not high maintenance!
Rachel, I am not a pushover!
Phoebe, Who said you were?
Phoebe, Oh  I’m flaky. I’ll say anything.
Joey, Hey  Gunther. Can you uh  can you cover for me? I just got an audition.
Joey, Really?! I like your natural color. Come on man  it’s a great part. Look  check it out. I’m the lead guy’s best friend and I wait for him in this bar and save his seat. Listen-listen. ‘I’m sorry  that seat’s saved.’
Joey, Okay  maybe he’s not his best friend  but …
Joey, Oh  man  I could totally get that part. ‘I’m sorry  that seat is taken.’
Joey, No  no  I didn’t mean you. But  you believed me  huh?
Joey, So  you’d hire me  right?
Joey, Exactly! All right  everybody  listen up. The coffeehouse is going to be closed for about an hour.
Joey, Yeah  it’s for the kids. To keep the kids off drugs. It’s a very important issue in this month’s Playboy. I’m sure you all read about it.
Ross, It’s my joke.
Chandler, It’s my joke.
Ross, Y’know  I don’t think we’re going to settle this.
Chandler, Let’s have Monica decide.
Ross, Yeah!
Chandler, Yeah!
Ross, Hey Mon.
Chandler, Mon  get out here!
Ross, Monica! 
Chandler, Okay  okay. You have to help us decide whose joke this is.
Monica, Why do I have to decide?
Chandler, Because you’re the only one that can be fair.
Ross, Yeah.
Monica, I can’t be fair. You’re my boyfriend.
Ross, Yeah  but I’m your brother. We’re family. That’s the most important thing in the world.
Chandler,  Don’t try to sway her.   I’m your only chance to have a baby. Okay  let’s go.
Ross, We’ll each tell you how we came up with the joke and then you decide which one of us is telling the truth—me.
Monica, Okay  Chandler  you go first.
Chandler, Okay  I thought of the joke two months ago at lunch with Steve.
Monica, Oh  wait  is he the guy I met at Christmas?
Chandler, Can I finish my story?!
Monica, Do you want me to pick you?!
Ross, See  I would never snap at you like that.
Monica, Continue.
Chandler, So Steve said he had to go to the doctor. And Steve’s doctor’s name is Doctor Muppy. So I said  ‘Doctor Monkey?’ And that is how the whole Doctor Monkey thing came up. 
Ross, Are you kidding? Okay  look. I-I studied evolution. Remember  evolution? Monkey into man? Plus  I’m a doctor  and I had a monkey. I’m Doctor Monkey!
Chandler, I’m not arguing with that.
Monica, All right  I’ve heard enough. I’ve made my decision.
Monica, You are both idiots. The joke is not funny  and it’s offensive to women  and doctors  and monkeys! You shouldn’t be arguing over who gets credit  you should be arguing over who gets blamed for inflicting this horrible joke upon the world! Now let it go! The joke sucks!
Ross, It’s your joke.
Chandler, Is not.
Monica, Hi  Chandler. There you are.
Chandler, Hi  oh hi.
Monica, Hey  it’s Phoebe and Rachel. Um  why don’t you tell them what you were telling me earlier about me not being high maintenance?
Chandler,  Monica is a self-sufficient  together lady.  Being with her has been like being on a vacation. And what may be perceived as high maintenance is merely attention to detail and——generosity of spirit.
Rachel, Wow  you know what? That is the best fake speech I think I’ve ever heard.
Phoebe, Really? I’ve heard better.
Monica, Wait  wait  he came up with that himself. Tell them  Chandler.
Chandler,  I’m out of words. Should I just say the whole thing again?
Monica, Look  I am not high maintenance. I am not. Chandler!
Chandler,  You’re a little high maintenance.
Monica, Ahhh! You are on my list.
Chandler, I’m sorry. You’re not easy-going  but you’re passionate  and that’s good. And when you get upset about the little things  I think that I’m pretty good about making you feel better about that. And that’s good too. So  they can say that you’re high maintenance  but it’s okay  because I like … maintaining you.
Monica,   I didn’t even tell him to say that. . All right you’re off my list.
Chandler,  I’m off the list. 
Monica,  Phoebe  it’s okay that you don’t want me to be your girlfriend because I have the best boyfriend.
Phoebe,  Y’know  suddenly I find you very attractive.
Chandler, Hey  buddy boy  how’d the audition go?
Joey, Not good  no. I didn’t get the part  and I lost my job here  so …
Phoebe, Wow! That is a bad audition.
Rachel, How-how did you lose your job here?
Joey, Well  I had the audition but Gunther said I had to stay here and be in charge so he could go get his hair dyed. So  I went anyway  and then he fired me.
Rachel, He left work in the middle of the day to do a personal errand and left you in charge when you’ve been working here two days? That’s not  that’s not right.
Joey, Yeah  what are ya gonna do?
Rachel, Joey  you can’t let him get away with that. Ya know what  I’m not going to let him get away with that. I’m going to say something to him—No  I really shouldn’t say anything—No  I should say something to him.  Gunther  I want you to give Joey his job back. That is really not fair that you have to fire him…
Rachel, What?
Rachel, That’s right  he can have his job back. I’m glad we got that all straightened out. There you go  Joey  you got your job back.
Joey, That’s great. Thanks Rach.
Rachel, Yeah  pretty nice  huh? Now who’s a pushover?
Phoebe,  Rach  you’re in my seat.
Rachel, Oh  I’m sorry. 
Phoebe, Hey  I never got to hear who you guys would pick to be your girlfriend.
Monica, I pick you  Phoebe.
Rachel, Oh  yeah. Definitely you  Pheebs.
Phoebe, Yeah  well  I kinda thought.
Chandler, Hey.
Rachel, Hey. Oh  I have a question. If-if-if one of you had to pick one of the other two guys to go out with  who would you pick?
Ross, No way.
Joey, I’m not answering that.
Chandler, Joey!  No way. I’m not answering that.
Joey, Okay Rach  that muffin and espresso  $4.50. Ross  double latte  $2.75. Chandler  coffee and a scone  $4.25. And Pheebs  herbal tea  $1.25. So  all together that’s  $12.75.
Chandler, This coming from the man who couldn’t split our 80 dollar phone bill in half.
Joey, Hi!
Joey, Oh that’s on the house courtesy of Joey Tribbiani.
Joey, Well  he’s not used to women being so forward with him; but uh  I good check with him—He says it’s okay.  Great! Thanks! Bye-bye!
Ross, Hey Joey  how come our stuff isn’t free?
Joey, It will be when you look like that in a tight skirt! This is great! I’m getting more dates than ever!
Rachel, Wait a minute  you’re only giving free stuff away to the pretty girls?
Phoebe, Yeah Joey that is so gross!
Joey, How about a scone on the house baby?
Phoebe,  I’m pretty.
Ross, Hey does anyone have any gum?
Phoebe, Oh I do!  Oh  y’know what? No.  Wait a second.  I know it’s in here somewhere.
Ross, Y’know what? I’m good! I’m good!
Monica,  Hey!
Ross, Hey!
Chandler, Hey  what are you doing here? Shouldn’t you be at work?
Monica,  Ugh  they sent me home. They said I can’t work if I’m sick.
Chandler, I’m so sorry you’re sick.
Monica, I’m not sick!! I don’t get sick! Getting sick is for weaklings and for pansies!
Rachel, Honey  no one thinks you’re a pansy  but we do think you need a tissue. 
Monica,  I have not been sick in over three years! 
Chandler, I’m gonna grab you some tissue.
Monica, I don’t need a tissue! I’m fine-d!
Ross, When you put a ‘D’ at the end of ‘Fine’ you’re not fine.
Monica, I’m fine-d. I’m fine-d! Y’know  it’s a really hard word to say.
Chandler, Yes?
Rachel, Oh my God  Jill!
Chandler, Oh my God  introduce us!
Rachel, This is Chandler. 
Rachel, And you know Monica and Ross!
Ross, Hi Jill.
Rachel, And that’s Phoebe   and that’s Joey.
Joey, Hey   how you doin’?
Rachel, Don’t!!   Honey  what are you doing here?!
Phoebe,  Which-which sister is this? Is this the spoiled one or that’s bitter?
Phoebe, Never mind  I got it.
Rachel, Wow! What did he say?
Rachel, Oh! Did you hear that?! My dad’s proud of me! My dad’s proud of me.
Monica, Rach? 
Rachel, Oh yeah  sorry. Wait honey  so what did you do that made dad cut you off?
Monica, You bought a boat?
Chandler, Boy did we make friends with the wrong sister! 
Rachel, Jill  honey  I think this is the best thing that could’ve ever happened to you. I mean you needed to get out on your own anyway! And you know when I did it  I-I-I at first I was scared  and look at me now! I’m the only daughter dad is proud of! Okay  well this is  this is what you’re gonna do. You’re gonna get a job  you’re gonna get an apartment  and then I’ll help you and you can stay with us. Right Pheebs  she can stay with us?
Phoebe, Of course  yeah!
Phoebe, Ooh  I like cards.
Joey,  Are you all finished here?
Joey, Great! 
Joey, What?!
Joey, Well if it’s free food  how come you’re charging me for it?
Joey, Well  what if they came in third in a modeling contest?
Joey,  Sorry! 
Ross, Jill  how did you pay for all this? I thought your dad took away your credit card.
Ross, I don’t think charging new clothes too your dad qualifies as making it on your own.
Phoebe, Seriously  I don’t Rachel’s gonna think it’s a good idea.
Phoebe, I would love that job!
Rachel,  Hey! What’s goin’ on?
Rachel,  Jill! Did you shop?!
Rachel, You went shopping?! What  and then you just came in here and paraded it right under Jill’s nose when you know she’s trying to quit. Wow  you guys are terrible!
Phoebe, Sorry Jill.
Ross, Sorry-sorry Jill.
Rachel, What’d you get?
Phoebe," Oh well  all right  I got   thank you  I got uh  this y’know ""I want a job sweater."" "
Rachel, Oh.
Phoebe, And  and then I got uh  these are apartment pants.
Rachel, Apartment pants?
Phoebe, Yeah  you never heard of them?
Rachel, No  of course  of course I’ve heard of them! Ross  what did you get?
Ross, Huh? Oh  I got this——this!
Rachel, A pajmena?
Ross, Yeah! Oh  I-I love this babies!
Rachel, Really?
Ross, Ross  wants a pajmena?
Ross, It’s a rug. 
Rachel, Jill?
Rachel, Oh  come on! You think that’s gonna work on me?! I invented that!
Rachel, All right  it’s okay. One little setback is okay  just don’t let it happen again  all right? Now since daddy paid for all this stuff  I should take it all away. But I’m just gonna take the-the pajmena.  And the uh  and the uh pants. Y’know what  I’m just gonna take it all away  ‘cause that way you’ll just really learn the lesson. Okay? All righty  I’m gonna run a couple of errands and I will see you at dinner. 
Ross, Yeah. Everything but  the little blue one. 
Ross, Well. Hey…
Ross," Oh yeah  how about you and the   ""I’m sorry!"""
Phoebe, What about  what about when I said y’know about the apartment pants  how dumb was I?
Ross, Oh stop.
Ross, No  you stop!
Phoebe,  Okay-okay  why don’t I sit here and you’ll both stop it!
Monica, Okay  so what do you  what do you want to do? Let’s do something crazy!
Chandler, I know  let’s rest and drink lots of fluids. 
Monica, Okay  I’ll rest. But y’know if I’m going to bed  then you’re coming with me.
Chandler, That would be impossible to resist if you weren’t all drippy here. 
Monica,  Are you saying that you don’t wanna get with this? 
Chandler, Yeah  I don’t you should say that even when you’re healthy.
Monica,  Come on. 
Chandler, Don’t take this personally okay? It’s just that I just can’t have sex with a sick person.
Monica, I’m with you Chandler! I mean I can’t have sex with a sick person either  that’s disgusting! But I’m not sick! Let me prove it to you. We are two healthy people in the pribe of libe.
Chandler, That’s the thing  see I would like to stay in the pribe of mwha-ah-libe.
Rachel, Hey!
Phoebe, Hey.
Rachel, What’s up?!
Phoebe, Umm  I think there’s something you should maybe know.
Rachel, Well  it’d better not be about the apartment pants  because I just pitched the idea to my boss at Ralph Lauren and she loved it.
Phoebe, No. No. It’s just I was umm  I was with Ross and Jill after you left and umm  I’m pretty sure I saw a little spark between them.
Rachel, What?!
Phoebe, Yeah I mean it’s probably nothing  but I just wanted to warn you that there might be something there.
Rachel, With Ross and Jill?
Phoebe, Yeah!
Rachel, With Ross and my sister?
Phoebe, Yeah.
Rachel, With my sister Jill and my ex-boyfriend Ross?
Phoebe, Yeah.
Rachel, Oh there is no way.
Phoebe, Okay then.
Rachel, Oh my God! I can not believe that! I mean I don’t really like it when Ross goes out with anyone  but my sister isn’t that like incest or something?! Oh my God  and they’re gonna have sex! Oh! Oh no what if he marries her too?! Oh this is just terrible  this is just terrible. And I can’t stop it! I can’t—I don’t own Ross! Y’know? And Jill  she should be able to do whatever it is that she wants to do! And oh my God  I can’t believe Ross is marrying my little sister  this terrible. Oh my God  this is just the worst thing that could have ever happened to me.
Phoebe, But great news about the apartment pants  huh?
Joey, That’ll be $3.85.
Joey," It’s just I can’t because my manager said I…   ""Happy birthday to you  happy birthday to you. Happy birthday dear Annie…"
Joey,"  ""…Amy! Happy birthday to you!"""
Joey, Yeah  not it here it isn’t.
Rachel,  Oh hi! Y’know  I just wanted to see if there were any leads on the old job front.
Rachel, That is great. Hey  y’know who doesn’t have to job hunt? Ross. He works at the university.
Rachel, Oh so you know that  you guys talked about that  so you get along  so you think you’re gonna go out?
Rachel, I just  Phoebe  said y’know thought she saw something between you guys.
Rachel, Yeah.
Rachel, Oh not-not so much. Umm  what-what do you  what do you mean is there something wrong with Ross?
Rachel, Are-are you saying he’s a geek?
Rachel, No! No I  no Ross is not a geek!
Rachel, What handsome is not your type? Smart? Kind? Good kisser? What those things aren’t on your list? Ross is a great guy! You would be lucky to be with him!
Rachel, Oh no-no-no  no-no-no  that’s not what I meant.
Rachel, Yeah but  he’s not your type.
Rachel, Yeah but  you don’t  you don’t  you don’t want to try to much too fast. Y’know? I mean  you do remember what happened to the little girl that tried to much too fast don’t you?
Rachel, She-she died Jill.
Monica,  Chandler!
Chandler, Oh what is it honey  you need some tea? Some soup?  Oh-ohhhh!
Monica,  Calling Dr. Big  Dr. Big to the bed.
Chandler, Oh Jeez honey  I thought  I thought you were asleep.
Monica, How could I be asleep knowing that you were in the next room.
Chandler, I was asleep.  Oh no! No-no honey! Y’know what’s sexy? Layers. Layers are sexy. And blankets are sexy. And oh! Hot water bottles are sexy.
Monica, Come on  get into bed! I want to prove to you that I’m not sick! I wanna make you feel  as good as I feel. 
Chandler, Would you please get some rest!
Monica, I’m fine. 
Joey,"  ""Happy birthday to you!"""
Joey, What? No-no it’s her birthday!
Joey, But it really…
Joey, Damnit! 
Ross,  Rach? Hi!
Rachel, Hi!
Ross, Did you tell your sister to ask me out?
Rachel, Well yeah…
Ross, Oh wow! I mean  wow! I mean  I-I-I think she’s cute but I-I would never have thought of going out with her  never!
Rachel, Really?!
Ross," Yeah but after you said it was okay  I figured  ""Why not?!"""
Rachel, Oh so-so not really never.
Ross, I have to say you are a much bigger person than I am. I mean after all we’ve been through  I just—y’know I wish I had a brother to reciprocate. Hey  if you ever want to go out with Monica  you have my blessing.
Joey,  Oh-ho  and mine!
Monica,  Chandler  I think I’m sick.
Chandler, Really? Struck down in the pribe of libe!
Monica, Okay  fine I admit it! I feel terrible! Would you please rub this on my chest? 
Chandler, No-no-no-no-no-no-no  you are not getting me this way.
Monica, Come on! I really need your help!
Chandler, No-no-no-no-no!
Monica, Fine  I’ll rub it on myself.
Chandler, Okay.
Chandler, So you’re just  kinda rubbing it on yourself?
Monica, Yeah?
Chandler, It’s nice.
Monica, Are you kidding me?! Is this; is this turning you on?
Chandler, Yes! 
Monica, I can’t believe it! What is it? Is it the rubbing or the smell?
Chandler, It’s all very  very good.  So you wanna go uh  mix it up?
Monica, Not now  I’m sick!
Chandler, Oh come on you big faker!
Monica, What happened to your rule about never sleeping with sick people?
Chandler, Well that was before all the vaporizing action.
Monica, Okay  if you really wanna have sex…
Chandler, Okay! 
Monica, Worked like a charm.
Rachel, Hi! Wh-what are you doing here?
Rachel, Well  I-I don’t like it.
Rachel, It’s kinda slutty.
Rachel, Yeah well  I’m-I’m a slut.
Ross,  Hi Jill!
Ross, Hi .
Rachel, Rachel.
Ross, Rachel! Well  you-you’re not at home  you’re-you’re-you’re right here.
Rachel, Yeah I know  and I bet you thought it would be weird. But it’s not!
Ross, Okay. So well I’ll umm   I’ll have her home by midnight.
Rachel, Why aren’t you home yet?!
Monica,  Is someone there?
Rachel, Oh yes  it’s me! Sorry!
Chandler,  What are you doing here?
Rachel, Uh  I’m just  I’m just looking out your window. At-at the view. What are you guys doing?
Chandler, We got some Vap-O-Rub in some places.
Rachel,  Oh  he brought her back to his apartment.
Monica,  Who?  Is that your sister?
Rachel, Ugh  she is a slut!
Monica, God  Ross is on a date with your sister! How weird is that?!
Rachel, Oh my God  look-look he’s taking off her clothes!
Chandler, He’s taking off her coat!
Rachel, Oh  this is just terrible.
Monica, Oh no it’s not  no it’s not. It’s a first date. I’m sure that nothing is gonna…
Rachel, Oh. 
Chandler, Ho-oh  he’s gonna get some!  Of the glare from the streetlight out of his apartment. Y’know so umm  he’s closed the drapes there so he can have a nice  pleasant conversation with your little sister.  Well  I’m off to bed! 
Joey,  Oh  uh  hey Rach. I uh  I was just coming over here to uh… Oh wait  I don’t have to lie to you  you don’t live here anymore. Uh  I’m eating their food. What are you doing?
Rachel, Ross is on a date with my sister and they shut the drapes two and a-half-hours ago.
Joey, Whoa  I didn’t know we could date your sister!
Monica, Joey we know you steal our food.
Chandler, I’m good.
Monica,  Oh  are the drapes still closed hon?
Rachel, Yeah. And y’know who should’ve shut their drapes? Is that perverted old couple two doors over.
Chandler,  Is that a swing?
Rachel, Oh don’t even ask!
Chandler, Yuck!
Joey, I can’t believe Ross went out with Rachel’s sister! When Chandler made out with my sister I was mad at him for 10 years.
Chandler, That was like 5 years ago.
Joey, Yeah you got 5 years left!
Chandler, Joey…
Joey, You wanna make it 6?!
Rachel, Oh Ross  hi! Hey  how are ya? There you are!
Ross, Hey!
Rachel,  I’ll take a coffee.  So how was your big date last night?
Ross, Uhh  it was okay. Yeah  it was fun.
Rachel, Yeah fun? Great! So uh  so did you guys hit it off?
Ross, I guess so.
Rachel, So uh  so did anything happen? Because rumor has it you guys shut the drapes!
Ross, No. No. Nothing happened. I shut the drapes to uh  show her slides of my favorite fossils.
Rachel, Oh  slides.  So really nothing happened.
Ross, Something could’ve happened. All right? She-she really dug my slides. And-and she was definitely giving me the vibe.
Rachel," Right. Was it the  ""Please don’t show me another picture of a trilobite vibe?"""
Ross, Anyway  if she  if she wasn’t in to me  why-why would she ask me out again?
Rachel, She asked-asked you out again?
Ross, Yeah-uh-huh. Tomorrow night  Valentine’s Day  the most romantic day of the year. Who knows what could happen? I might not be shutting my drapes to show her my slides  if you know what I mean.
Rachel, Okay-okay-okay-okay-okay-okay-okay! I got it! I got it! I got it! I can’t! I can’t! I can’t! I cannot go with you and my sister thing. Okay? I just can’t. It’s just too weird  all right? I imagine the two of you together and I freak out. It freaks me out. I can’t do it! I can’t do it.
Ross,  Okay! Okay! Okay! It’s okay.  It’s okay. Hey  it’s too weird for you  I won’t see her again.
Rachel, Thank you. I…yeah.
Ross, I mean after tomorrow night.
Rachel, No-no-no! No-no-no! Please Ross  I can’t! I can’t do it!  It’s just gonna freak me out!!!
Ross, Okay! Okay! Ooh-hey-hey-hey! Okay! Okay! Okay! I’ll-I’ll tell her tonight I can’t see her anymore.
Rachel, Ross thanks.
Ross, You want me to call her right now?
Rachel, Oh no! No! No-no-no-no! No  I mean come on that’s-that’s crazy—I mean that’s crazy. So what’s-what’s going on with you? What is going on with you?
Ross, Well umm  oh! I might be teaching another class this semester!
Rachel, Yeah do it now  call right now.
Monica,  This is my favorite part.
Phoebe,  Yeah me too.
Phoebe, Oh y’know what’s sadder than this? Bambi. I cried for three days with that movie. No wait two! Because on the third day my mother killed herself so I was partly crying for that.
Chandler,  Well see now that I can see crying over  but Bambi is a cartoon!
Joey,  You didn’t cry when Bambi’s mother died?
Chandler, Yes it was very sad when the guy stopped drawing the deer!
Monica, Chandler there’s nothing wrong with crying! I mean you don’t have to be so macho all the time.
Chandler, I’m not macho.
Monica, Yeah you’re right. I don’t know what I was thinking.
Chandler, No  I guess I just never really cried. Y’know? I’m not a crying kind of guy.
Joey, Come on man there’s gotta be something that gets you choked up! Like uh  uh oh  what if you saw a three-legged puppy?
Chandler, I’d be sad sure  but I wouldn’t cry.
Joey," Okay  what if the puppy said  ""Help me Chandler. All the other puppies pick on me."""
Chandler, Cry?! I just found a talking puppy  I’m rich!
Monica, Oh  I’ve got it! I have got it!  Pictures from your childhood. This will get you going good!
Phoebe, All right  what’s going on there? 
Chandler, Oh  that’s Parent’s Day  first grade. That’s me with the janitor Martin.
Monica, Where were your parents?
Chandler, Oh they didn’t want to come!
Phoebe, Oh Chandler!
Monica, Poor thing!
Phoebe, So that story doesn’t make you cry?
Chandler, No! Look  I don’t cry! It’s not a big deal! Okay?!
Joey, No! It’s not okay! It’s not okay at all!! You’re dead inside!!
Phoebe, Yeah?
Phoebe, Yeah.
Phoebe, Oh you’re my biggest fan? I’ve always wanted to meet you! Hi!  Sure! Yeah! 
Phoebe, You’re just saying that because you’re my biggest fan.   Joey listen  take good care of that guy  okay?  He’s a fan.  Bye! 
Joey,  So  you saw me on Days Of Our Lives huh? Want me to  want me to do a little Dr. Drake Remoray for ya?
Joey, Oh  you’re Phoebe’s fan!
Joey, Movies?
Joey,  I don’t think so.
Joey, Hey Gunther  don’t let that guy in here anymore! He just said Phoebe’s a porn star!
Rachel, Hey!
Rachel, Ohhh well. Y’know what honey? The best thing to do to get over a guy is to start dating someone else. Oh! There is this great guy you will love at work named Bob! He’s a real up-and-comer in Human Resources.
Rachel, It’s not random  it’s Bob.
Rachel, No honey  okay  okay  you wanna know why Ross canceled the date? Because I asked him to.
Rachel, Hm-mmm.
Rachel, Because you are my sister and Ross and I have this huge history…
Rachel, No.
Rachel,  Y’know Bob in Human Resources…
Rachel, Look  this is not that big of a deal! You just don’t date Ross! There’s a million other guys out there  you just…
Rachel, I’m not telling you what to do! I am telling you what not to do!
Rachel, Jill this is not about me being jealous of you! This is about you being a brat! Wanting what you can’t have!
Rachel, All right  all right  well you just blew your chances at dating Bob!
Rachel, In Human Resources!!!!!!
Rachel, …I am jealous of her?! I mean who does she think she is?! Princess Caroline?!
Monica, You’re jealous of Princess Caroline?
Rachel, Do I have my own castle?
Ross, Hey! Uh  Phoebe’s not here is she?
Rachel, No.
Monica,  Oh great! Did you get a movie?
Joey, Uhhh  yeah. Yeah. But uh  I don’t think it’s the kind you’re gonna like.
Chandler, You didn’t get more movies that are gonna have us reaching for the tissues all night did you?
Joey, Sort of…
Monica, Guys  what’s going on?
Joey,  Phoebe’s a porn star!
Chandler, Phoebe Buffay in Buffay: The Vampire Layer.
Rachel, Oh my God!
Monica, That’s Phoebe! Where did you get that?
Joey, Well down at the adult video place down on Bleaker.
Ross, And-and I  and I saw that Joey was about to go in  so I ran in ahead of him to-to surprise him and  and then I pretended I didn’t know he was in there. 
Rachel, Wow! I mean  I just—I can’t  I can’t believe this. Y’know  I mean you think you know someone even  even Phoebe who’s always been somewhat of a question mark.
Monica, This is so bizarre. I guess it kinda makes sense though  y’know she had such a terrible childhood.
Chandler, Hey  I had a terrible childhood and I don’t do porn.
Monica, Yes  but you are dead inside.
Joey, All right well  I’d better take that back.
Monica, Wh-what  why?
Joey, We can’t watch that! I mean that’s Phoebe!
Monica, Yeah you’re right  we can’t—we shouldn’t watch this.
Rachel, Absolutely not.
Monica,  Y’know maybe a little bit!
Rachel, Probably just the first half.
Joey, No! Hey no! This is wrong you guys! Phoebe’s our friend! Well  I’m not gonna watch it!
Ross, Yeah! Good for you Joe!
Joey, Yeah.
Monica, Hold on a second! What is that on her ankle?
Chandler, Her ankle is what you’re watching?
Rachel, Well it’s hard to tell…  Oh God  if she would just stop moving.
Chandler, She’s just doing her job!
Joey,  You sick bastards!
Rachel, Oh  it’s a tattoo! That’s weird  Phoebe doesn’t… Wait that’s Ursula! That’s not Phoebe that is Ursula!
Joey, Re! Re! Then I can watch that! Rewind it! Rewind it!
Phoebe,  Hey! What’s up?  Oh my God! What am I doing?!!
Monica, Hey sweetie!
Chandler, Hey! 
Monica,  Chicken Soup for the Soul?
Chandler, There’s no back to this couch!
Monica, Why are you reading this? You hate this kind of stuff.
Chandler, Yeah I know  but I figured a shot y’know? Maybe one of those stories would make me cry and then you wouldn’t think I was y’know  all dead inside.
Monica, Oh that’s so sweet! Look Chandler I don’t care if you can’t cry  I love you.
Chandler, Oh that makes me feel so warm in my hollow tin chest.
Monica, Stop it!
Chandler, No  I mean  come on  seriously think about it  we get married  we’re up at the altar and I’m like this. 
Monica, I won’t care  because I know you will be feeling it all in here. 
Chandler, Yeah?
Monica, Yeah! And if  and if we have a baby one-day  and the doctor hands it to you in the delivery room and you don’t cry  so what! And-and-and  and if we take him to college and come home and see his empty room for the first time  and you got nothing  it won’t matter to me.
Chandler, Okay  well I won’t uh  worry about this anymore then.
Monica," And-and-and if I die  from a long illness. And you’re writing out my eulogy and you open a desk drawer and you find a note from me that says  ""I will always be with you "" and you still can’t shed one tiny tear  I know you’ll be crying a river inside."
Chandler, Aww  I love you so…
Monica, What is wrong with you?!!!
Chandler, What?!
Monica, What?! You can’t shed a tear for your dead wife!! Now  I left you a note from the beyond!
Chandler, So you didn’t mean any of that?!
Monica, No you robot!!
Ross, You damn kids! You ring my bell one more time  I swear to…  Ohh  uh Jill. Umm  that-that’s just a little game I play with the kids down the hall. Umm  they’ve really taken a liking to me.  Uhh what’s-what’s-what’s the matter?
Ross, Of course  what happened? 
Ross, Okay  umm…
Ross, What?
Ross, Wow! Really?!
Ross, Well  I’d love to! Here  you wait right here and I’ll go get the projector and my notes!
Ross, Ohh!
Rachel, Hey! Have you guys seen Jill? I can’t find her anywhere.
Monica, No  I haven’t.
Rachel, Well  is Ross home? Maybe I’ll just call him to see if he’s actually seen her.
Phoebe, It’s Phoebe! Phoebe!
Phoebe,  Oh God. So-so you’re making porn movies.
Phoebe, You’re making one right now!
Phoebe, And-and you’re using my name!
Phoebe, Look  I’m talking right now! You’re—you mean her.
Phoebe, What?!
Phoebe, No!! No way! No! And stop using my name! And shame on you!  And shame on all of you! You’re disgusting! Especially you  with that! 
Ross, Slides are almost ready.
Ross, Uh okay  well there’s-there’s wine in the kitchen.
Ross,  Hello?
Rachel,  What is my sister doing there?! And why are the drapes shut?!
Ross, O-okay  Rach calm-calm down  okay? She-she’s really upset we’re just talking.
Rachel, Ross! I think she is trying to make something happen with you to get back at me!
Ross, So that’s the only reason she could be here huh? It couldn’t have anything to do with the fact that-that maybe I’m a good listener and I uh I put on a great slide show!
Rachel, Ross  I am telling you that she is using you to get back at me!
Ross, Y’know what? I think I can take care of myself  I’ll talk to you later. Good-bye.  Whoa! Uh  that was your sister actually. She-she thinks that you’re just using me.
Phoebe, Hey!
Joey, Hey!
Phoebe, So  I just came from the company Ursula works for.
Joey, Oh no  not you too!
Phoebe, No! No! I just went to pick up Phoebe Buffay’s checks; there were a lot of them.
Joey, Nice!
Phoebe, Um-mmm  and I won’t have to go there anymore because I gave them my correct address.
Joey, That’s great  but isn’t it gonna bother that people still think you’re a porn star?
Phoebe, Oh no! No! I know how to handle it.
Joey, You do?
Phoebe, Yeah.   You’re trying to figure out where you know me from? All right  I’ll give you a hint. From porn! Okay?  Yeah your pervert boyfriend watched me in a porno movie!  See?
Joey, Yeah.
Chandler, Hey.
Ross,  You uh  you may have been right about Jill.
Rachel, Oh! I knew it! What happened?
Ross, Umm  she kissed me.
Rachel, What?! You kissed!
Chandler,  Maybe we should give them some privacy.
Monica,  Shhhh!!!
Ross, Look  I uh  I tried not to kiss her  okay?
Rachel, Well  it doesn’t sound like it! I mean  it’s pretty easy not to kiss someone  you just don’t kiss them! See look at us  right now  not kissing!
